title,series_launch_year,season_count,total,average,1s,2s,3s,4s,5s
ChainChronicle-TheLightofHaecceitas-,2017,2,1710,4.1,90,75,156,183,297
ChainsawMan,2022,1,282773,4.9,26,6,36,74,352
ChainsawManFestival,2023,1,193,3.8,188,64,117,326,1.3
CHAOS;CHILD,2017,1,457,3.7,168,104,288,623,1.8
CheatingCraft,2016,1,317,3.2,244,107,197,177,353
CHERRYMAGIC!THIRTYYEARSOFVIRGINITYCANMAKEYOUAWIZARD?!,2020,1,3381,4.7,212,192,824,3.4,14
Chihayafuru,2011,3,4257,4.7,36,25,44,48,201
ChildrenofEther,2017,1,248,4.2,1.3,418,1.2,4.8,103.2
Chillin'inMy30safterGettingFiredfromtheDemonKing'sArmy,2023,1,23072,4.7,213,52,210,1,34.6
Chio'sSchoolRoad,2018,1,1125,4.7,432,272,875,2.8,26.7
Chiruran1/2,2017,1,61,3.7,22,16,14,24,50
ChitoseGetYou!,2012,1,215,4.1,56,70,170,243,467
ChroniclesoftheGoingHomeClub,2013,1,235,4.1,12,5,2,5,52
CHRONOSRULER,2017,1,785,3.9,50,42,72,150,572
CinderellaChef,2022,1,1321,4,15.8,3.5,6.2,7.3,28.7
CinderellaNine,2019,1,373,4.2,90,73,293,981,3.4
citrus,2018,1,11235,4.3,23,17,40,93,244
CLASSROOMFORHEROES,2023,1,12220,4.1,59,21,48,102,196
ClassroomoftheElite,2017,2,82265,4.8,258,105,201,357,913
Claymore,2018,1,6833,4.8,51,74,145,372,884
CleanFreak!Aoyamakun,2017,1,1802,4.4,24,5,22,32,140
CodeGeass,2022,3,22408,4.9,333,129,373,1.6,29.3
Code:Realize~GuardianofRebirth~,2017,1,1074,4.4,209,111,212,324,780
Code:Breaker,2022,1,1241,4.3,116,45,80,151,468
CombatantsWillBeDispatched!,2022,1,7583,4.6,41,36,54,84,336
ComicGirls,2018,1,868,4.6,537,311,844,3.1,39.9
ComicPartyRevolution,2022,1,98,3.8,62,25,47,165,3.8
ComicalPsychosomaticMedicine,2015,1,273,4,171,51,111,218,844
Conception,2018,1,3235,2.6,122,111,372,917,3.9
ConcreteRevolutio,2022,2,232,3.9,50,37,109,320,1.5
ConvenienceStoreBoyFriends,2017,1,1424,4,582,120,152,267,1.5
CopCraft,2022,1,958,4.5,25,24,46,28,103
Copihan,2023,1,126,2.9,311,266,848,2.5,19.9
CosplayComplexOVA,2010,1,1086,4.3,27,9,38,68,180
CoyoteRagtimeShow,2017,1,205,4.2,52,35,80,76,162
CrossingTime,2018,1,452,4,88,8,7,4,4
Crunchycast,2021,1,209,2.6,295,153,588,2.6,43.4
CrunchyrollCollection,2015,5,103,1.7,52,57,195,443,2
CrunchyrollConventionHighlights,2016,1,113,2.2,28,10,42,68,203
CUE!,2022,1,1029,4.3,53,17,25,37,1.4
CuteHighEarthDefenseClubLOVE!,2015,4,650,4.1,59,21,74,184,2.4
D-Frag!,2022,1,2028,4.6,24,11,24,25,168
D.Gray-man,2022,1,4066,4.6,289,73,124,166,640
D4DJAllMix,2023,2,703,4.5,199,48,96,321,4.7
D4DJFirstMix,2020,1,1104,4.7,24,13,30,54,162
D_CIDETRAUMEREITHEANIMATION,2021,1,683,3.6,22,16,40,106,445
DaCapoIII,2013,1,165,4.1,199,214,649,2.4,12.8
Dai-Shogun-GreatRevolution,2014,1,222,3.3,244,150,198,175,375
DanceDanceDanseur,2022,1,4464,4.7,94,46,100,235,430
DancewithDevils,2022,1,1494,3.7,17,30,122,338,933
Danchigai,2015,1,738,4.3,119,81,219,432,859
Danganronpa3:TheEndofHope'sPeakHighSchool,2022,1,2015,4.5,2.7,944,2.5,9.8,266.8
Danganronpa:TheAnimation,2022,1,4738,4.4,42,5,11,18,117
DARLINGintheFRANXX,2018,1,46092,4.7,55,43,86,89,184
DateALive,2022,5,12891,4.7,76,41,61,34,105
DAYS,2016,1,1581,4.7,194,14,31,206,2.9
DaysofUrashimasakatasen,2019,1,98,4.3,75,44,127,441,3.6
DDFistoftheNorthStar,2013,2,74,3.8,17,9,16,64,142
DeadMountDeathPlay,2023,1,26474,4.8,405,275,837,2.9,18.7
Deaimon:RecipeforHappiness,2022,1,3850,4.7,20,16,43,118,928
DeathMarchtotheParallelWorldRhapsody,2018,1,21586,4.5,7,7,12,8,27
DECA-DENCE,2022,1,2984,4.6,17,9,23,44,122
DeepInsanityTHELOSTCHILD,2022,1,1130,3.9,14,13,25,55,128
DEMIAN,2011,1,82,2.3,80,47,108,162,388
DemonKingDaimao,2010,1,8507,4.3,231,39,75,170,806
DemonLord,2022,1,9426,4.7,25,10,40,72,226
