title,series_launch_year,season_count,total,average,1s,2s,3s,4s,5s
Plunderer,2023,1,10384,4.5,19,18,74,188,574
PolarBearCafe,2012,1,807,4.6,85,33,100,258,926
PoliceinaPod,2022,1,553,4.5,32,21,47,111,644
PopTeamEpic,2021,1,2669,4.2,176,15,18,25,266
PowerofHope~PrecureFullBloom~,2022,1,598,4.2,7.8,1.8,2.9,7.2,342
Poyopoyo,2020,2,474,4.6,1.1,200,701,3.4,39.5
PrettyBoyDetectiveClub,2018,1,475,4.4,43,40,97,235,694
PrettyCure,2015,2,1233,4.5,140,62,86,91,323
PrinceofStride:Alternative,2012,1,466,4.6,4,4,17,54,365
PrincessConnect!Re:Dive,2017,1,6643,4.5,195,90,131,310,1.6
PrincessJellyfish,2021,1,1779,4.8,10,17,32,82,222
PrisonSchool,2023,2,7915,4.5,190,105,387,1.5,10.4
ProblemChildrenareComingfromAnotherWorld,2015,1,2948,4.6,10,5,2,3,25
ProjectBlueEarthSOS,2021,1,86,4.1,168,81,226,586,2.3
PsychicPrincess,2018,2,13639,4.8,12,7,9,20,74
PSYCHO-PASS,2020,1,6457,4.7,823,469,1,2.5,10.3
PUNCHLINE,2019,1,1173,4.1,476,290,654,1.1,2.9
PuraOra!PRIDEOFORANGE,2018,1,342,4.2,20,1,3,1,11
RADIANT,2021,2,9129,4.5,18,12,64,152,739
RailRomanesque,2022,1,300,3.7,12,16,114,489,1.4
RainyCocoasideG,2022,1,125,3.3,420,92,210,582,7.1
RampoKitan:GameofLaplace,2016,5,465,4.1,58,88,345,1.1,4.8
RankingofKings,2016,1,46654,4.8,54,42,67,99,225
RavenoftheInnerPalace,2023,1,10360,4.8,1.1,529,1.1,3.9,72.5
RE-MAIN,2023,1,2514,4.7,62,25,57,162,2.6
Re:ZERO-StartingLifeinAnotherWorld-,2009,9,45138,4.7,23,18,20,22,51
Re:ZERO-StartingLifeinAnotherWorld-Shorts,2018,2,717,4.4,15,17,31,47,125
RebornasaVendingMachine,2012,2,18626,4.2,162,40,56,140,1.1
ReborntoMastertheBlade:FromHero-KingtoExtraordinarySquire,2017,2,16562,4.5,330,231,796,3.1,26.6
REBORN!,2022,1,16356,4.7,82,48,87,260,1.5
RecordofLodossWar,2023,1,831,4.7,182,131,599,3.1,22.5
RecorderandRandsell,2016,2,634,4.1,7,13,14,9,34
RecoveryofanMMOJunkie,2021,1,10326,4.7,29,8,15,33,108
Regalia:TheThreeSacredStars,2023,2,180,4.2,439,311,605,976,2.3
ReignoftheSevenSpellblades,2022,1,15307,4.2,61,10,22,37,57
ReLIFE,2018,1,14348,4.8,39,36,60,158,485
RemakeOurLife!,2017,2,13205,4.7,187,13,18,27,245
Rent-a-Girlfriend,2023,1,62717,4.3,12,7,5,5,16
RequiemoftheRoseKing,2022,1,1726,3.9,28,13,30,71,192
RErideD-Derrida,2019,1,466,3.6,63,58,132,280,633
RestauranttoAnotherWorld,2022,1,7722,4.8,12,11,27,49,98
Revenger,2022,1,6091,4.5,3,5,17,42,62
RIN~DaughtersofMnemosyne~,2022,2,956,4.4,42,9,9,12,70
Rinshi!!Ekodachan,2017,1,198,2.1,18,10,14,40,1
RobiHachi,2015,1,258,4.2,16,11,41,77,218
RoboGeisha,2023,1,95,2.8,19,5,13,42,423
Robotech,2023,1,948,4.4,109,80,253,837,9.4
Robotics;Notes,2020,1,304,4.3,1.5,860,1.5,2.2,5.6
Rokka-BravesoftheSixFlowers-,2017,1,7485,4.2,140,39,125,416,4.8
Rokudo'sBadGirls,2014,1,5056,4.4,19,13,63,162,524
RonKamonohashi'sForbiddenDeductions,2022,1,3987,4.8,339,265,588,1.6,7.6
ROOMCAMP,2022,1,1086,4.7,22,13,34,98,640
RoomMate,2017,1,661,2.8,24,10,22,102,395
RowdySumoWrestlerMatsutaro,2018,1,112,3.7,359,77,139,306,1.8
RPGRealEstate,2023,1,1965,4.2,89,21,15,44,429
RUMBLEGARANNDOLL,2022,1,251,4.1,12,7,27,79,349
RumblingHearts,2013,9,329,4.1,26,18,34,66,331
RunwiththeWind,2022,1,3984,4.9,63,21,71,204,874
RurouniKenshin,2023,1,16841,4.8,12,6,18,70,360
RustedArmors,2014,1,843,1.5,228,200,416,926,4.9
RWBY,2022,1,16719,4.7,38,8,28,128,1.6
RWBY:IceQueendom,2023,1,7375,4.4,431,128,309,923,6.1
RYO,2015,1,188,4,51,46,171,459,2.2
Sabagebu!-SurvivalGameClub!–,2017,3,649,4.5,7,5,7,23,44
SABIKUIBISCO,2023,1,10493,4.6,262,110,252,1,12
SacrificialPrincessandtheKingofBeasts,2015,1,12652,4.8,99,54,189,823,5.3
Saekano-HowtoRaiseaBoringGirlfriend-,2018,1,4576,4.6,102,58,109,262,642
SagaofTanyatheEvil,2022,1,19760,4.8,30,9,24,67,212
SaintCeciliaandPastorLawrence,2017,1,4511,4.6,286,234,463,1.3,6.8
SaintSeiya-SoulofGold,2009,2,1356,4.7,41,35,46,42,136
SaintSeiyaSaintiaSho,2012,1,768,3.9,24,17,24,18,42
SAINTSEIYA:KnightsoftheZodiac,2021,1,3711,4.2,50,22,38,83,272
SAIYUKIRELOADBLAST,2022,1,646,4.5,686,243,650,2.6,42.5
Saki,2022,1,2617,4.5,89,40,190,833,9.2
SakiEpisodeofSideA,2022,1,233,4.2,38,24,97,364,2
SAKUGAN,2015,1,3053,4.3,1.2,589,1.4,4.3,37.7
SakuraWarstheAnimation,2018,1,241,3.8,40,21,48,135,473
SakuraWarstheMovie,2019,1,100,3.8,2,510,1.2,2.7,12.2
Salaryman’sClub,2022,2,3125,4.7,630,534,1.2,2.5,11.7
SamuraiWarriors,2017,1,291,4.3,198,105,327,2.6,13.1
SANRIOBOYS,2023,1,1309,4.6,33,10,29,69,690
Sarazanmai,2022,1,771,4.3,38,41,74,159,322
SasakiandMiyano,2018,1,22459,4.9,107,90,385,1.5,8.2
SasamiMagicalGirlsClub,2023,1,83,3.6,12,13,15,31,109
Saving80,2018,1,13077,4.6,1.1,756,1.4,2.4,9.6
ScaronthePraeter,2009,1,373,4,118,73,294,1.4,12.5
Scar-redRiderXechS,2017,1,67,2.9,176,124,422,1.5,10.9
ScarletNexus,2016,1,1991,4.1,6.1,1.7,3.3,7.3,44.3
SchoolBabysitters,2020,2,9139,4.9,254,90,149,239,994
SchoolDays,2016,1,8340,3.6,47,51,84,125,159
SchoolgirlStrikers,2022,1,114,3.6,87,62,206,711,6.7
SchwarzesMarken,2021,1,1280,4.3,155,117,397,1.1,4.4
ScienceFellinLove,2019,1,8673,4.6,61,27,50,165,653
ScorchingPingPongGirls,2021,1,459,4.3,120,12,19,13,34
ScrappedPrincess,2023,2,569,4.3,21,12,18,47,160
SDGUNDAMWORLDHEROES,2016,1,104,3.3,44,6,6,6,33
SDGUNDAMWORLDSANGOKUSOKETSUDEN,2022,1,111,3.2,99,8,23,78,740
SeireiGensouki:SpiritChronicles,2017,1,31225,4.7,20,7,20,69,188
SekaiIchiHatsukoi-World'sGreatestFirstLove,2012,1,5678,4.6,357,320,773,1.8,4.2
SekkoBoys,2017,1,394,3.3,232,154,371,763,3.5
SelectionProject,2016,2,346,4.6,61,35,63,266,3.6
SengokuBASARA-EndofJudgement,2023,1,257,4,17,20,28,116,905
SengokuCollection(ParallelWorldSamurai),2018,2,215,3.8,233,79,108,61,180
SENGOKUNIGHTBLOOD,2019,1,1988,3.9,19,12,6,19,56
SENGOKUCHOJYUGIGA,2013,2,100,3.6,149,68,189,401,1.2
SenranKagura,2017,1,708,4.1,20,18,28,47,138
SENRANKAGURASHINOVIMASTER,2020,1,815,3.9,29,18,29,54,199
SenryuGirl,2021,1,812,4.7,24,16,49,240,3.7
Senyu,2017,1,579,4.1,364,88,205,713,15.5
SERVAMP,2022,1,2091,4.5,680,38,39,24,62
SetonAcademy:JointhePack!,2022,2,2958,4.5,720,235,395,984,14.4
SEVENKNIGHTSREVOLUTION:HeroSuccessor,2023,2,1994,4,471,254,479,988,5.2
SevenMortalSins,2023,1,3894,3.2,19,14,17,32,106
Shachibato!President,2017,1,568,4,31,7,39,94,478
SHADOWSHOUSE,2016,1,8157,4.8,187,159,479,1.6,8.1
Shadowverse,2023,1,1142,3.5,221,86,220,721,11.4
Shangri-LaFrontier,2016,1,27341,4.9,107,92,206,720,3.5
ShatteredAngels,2022,1,187,3,256,107,322,1.4,17.6
SheandHerCat-EverythingFlows-,2022,1,2613,4.8,123,66,204,561,3.6
SheProfessedHerselfPupiloftheWiseMan,2023,1,8079,4.4,33,23,56,154,1.1
SHELTER,2022,1,5275,4.9,120,36,74,93,445
ShenmuetheAnimation,2009,1,2513,4.5,517,81,131,247,2.7
Shikimori'sNotJustaCutie,2010,1,34262,4.5,28,14,34,78,492
SHIMONETA:ABoringWorldWheretheConceptofDirtyJokesDoesn’tExist,2022,1,5555,4.7,45,36,165,698,1.7
ShinIkkiTousen,2022,1,1801,4.3,14,11,27,44,137
ShinKoihimeMusou,2016,1,965,4.5,136,113,319,540,1.9
ShinKoihimeMusou-OtomeTairan,2022,1,603,4.5,41,11,27,43,119
Shineon!BakumatsuBadBoys,2015,1,1801,4.1,17,5,8,17,53
ShinobinoIttoki,2022,1,23666,3.9,56,31,108,426,2.5
ShiratoriReiko,2016,1,90,2.7,13,11,32,64,171
ShironekoProjectZEROChronicle,2022,1,1501,3.4,24,22,74,198,991
SHOKU-KING(MotionManga),2022,3,32,3,67,24,33,102,545
ShominSample,2023,1,2434,4.6,428,41,170,814,21
ShonenAshibeGO!GO!Goma-chan,2016,2,65,3.3,20,2,7,14,40
Shoot!GoaltotheFuture,2023,1,2068,3.3,276,237,671,1.9,10
ShowByRock!!,2020,1,263,4.3,38,21,41,89,184
SHOWBYROCK!!Mashumairesh!!,2023,1,166,4.2,28,4,7,5,23
ShowaGenrokuRakugoShinju,2022,1,972,4.8,155,129,233,402,1.1
SHY,2022,1,2894,4.4,91,21,119,474,8.4
SING\YESTERDAY\FORME,2011,1,4455,4.3,1.7,445,785,1.6,3.8
SK8theInfinity,2023,1,16247,4.9,13,17,15,21,48
Skate-LeadingStars,2008,1,508,4.3,71,40,110,278,781
SkeletonKnightinAnotherWorld,2018,1,49296,4.7,221,202,519,1.3,6.4
SKETDance,2017,1,1878,4.6,37,14,26,59,323
SkipandLoafer,2022,1,21398,4.9,31,14,55,131,338
SkipBeat!,2022,1,18142,4.7,27,14,9,10,44
Skull-faceBooksellerHonda-san,2022,1,1989,4.6,36,7,12,6,50
SkyWizardsAcademy,2022,1,1683,4.3,421,375,1,3.5,26
SleepyPrincessintheDemonCastle,2020,1,6632,4.8,225,38,147,752,4.5
SlowLoop,2022,1,757,4.7,111,24,49,64,146
SmileDowntheRunway,2021,1,879,4.7,13,7,16,29,281
SmileoftheArsnotoriatheAnimation,2020,1,1404,3.6,31,13,29,31,153
SNACKWORLD,2022,1,81,2.2,20,19,34,46,96
SnowWhitewiththeRedHair,2022,1,8883,4.8,234,146,229,369,1
SoI'maSpider,2021,1,41715,4.7,20,9,11,15,45
SomaliandtheForestSpirit,2022,4,5928,4.8,96,19,52,102,439
SonnyBoy,2017,1,3743,4.7,112,47,71,135,450
SonyMusicAnimeSongsONLINE2022,2016,1,295,4.6,5,9,37,107,654
SorairoUtility,2022,1,341,4.4,63,23,52,95,346
SorcerousStabberOrphen,2015,2,2162,4,50,60,150,389,1.4
SorceryintheBigCity,2018,2,202,3.8,65,64,178,601,2
SoulBuster,2013,1,152,3.4,126,124,298,553,893
SoulEater,2016,1,10195,4.8,1.2,221,462,488,1.5
Sound!Euphonium,2013,1,2430,4.8,32,33,97,151,255
SpaceBattleshipTiramisu,2022,1,352,3.8,126,46,150,723,7.1
SpaceBrothers,2022,2,947,4.8,297,58,92,127,568
SPACEPATROLLULUCO,2017,2,691,4.6,245,133,279,1.1,25.6
Sparrow'sHotel,2023,2,131,3.7,67,16,17,26,61
Special7:SpecialCrimeInvestigationUnit,2010,3,321,4.3,39,21,39,183,2.3
SpiceandWolf,2020,1,5386,4.8,290,237,541,1.6,5.4
Spiritpact,2022,1,3138,4.6,53,11,42,167,5
SPYxFAMILY,2018,1,245739,4.9,98,63,145,301,1.9
SquidGirl,2022,2,2157,4.6,1.6,1,2.1,4.7,24.8
Squishy!BlackClover,2013,2,353,4.3,172,68,223,566,4.5
SSSS.DYNAZENON,2023,1,925,4.5,153,63,99,197,1.3
SSSS.GRIDMAN,2018,1,1388,4.4,30,19,62,220,634
StandMyHeroes:PieceofTruth,2017,2,592,3.7,19,14,33,120,417
StarBlazers:SpaceBattleshipYamato,2022,1,1132,4.8,122,76,257,369,977
StardustTelepath,2022,1,1678,4.5,2.6,1.7,3,4.2,12.3
StarlightPromises,2023,1,241,4.3,45,4,5,9,27
STARMYU,2013,1,146,4.4,305,166,260,231,539
StarsAlign,2022,1,1969,4.8,11,4,3,1,13
Steins;Gate0,2014,2,5060,4.8,54,41,152,425,1.8
StellaoftheTheater:WorldDaiStar,2013,3,807,4.4,19,4,6,10,26
StraightTitleRobotAnime,2022,3,101,2.6,499,205,311,260,793
STRAIN:StrategicArmoredInfantry,2019,2,203,4,24,8,13,38,180
Strange+,2023,1,154,3.5,21,4,10,23,108
StriketheBlood,2023,1,4066,4.4,17,11,8,52,884
StrikeWitches,2021,1,957,4.2,207,99,179,345,2.1
StrikeWitches:501stJOINTFIGHTERWINGTakeOff!,2022,1,276,4.1,215,178,420,930,2.7
SugarAppleFairyTale,2016,2,16140,4.8,113,61,247,1.1,14.7
SummonedtoAnotherWorldforaSecondTime,2022,1,14752,3.7,24,25,57,91,311
SuperCub,2023,1,2132,4.8,797,432,1.5,5.3,41.3
SUPERHXEROS,2023,1,850,4.2,21,20,97,348,1.4
SUPERLOVERS,2021,3,4730,4.3,174,62,296,1.3,19.6
SupposeaKidfromtheLastDungeonBooniesmovedtoastartertown,2023,1,12417,4.4,142,71,320,3.2,14.4
Suzume,2015,5,14365,4.9,60,34,115,276,1.5
SweetReincarnation,2016,1,14040,4.5,57,57,177,429,963
SwordArtOnline,2016,1,54680,4.7,67,35,155,502,5.9
SwordArtOnline-FULLDIVE-,2017,1,742,4.2,13,9,32,100,603
Symphogear,2022,1,767,4.7,20,6,23,127,703
TabimachiLateshow,2015,1,90,4.2,232,136,214,217,605
TabooTattoo,2021,1,3363,3.4,52,3,5,1,20
TaishoMebiuslineChicchaisan,2022,1,147,3.2,63,45,184,711,7.9
TaishoOtomeFairyTale,2020,1,4284,4.9,744,495,1.3,4.4,34.7
TakamiyaNasunoDesu!,2022,1,84,3.8,57,34,138,504,5.2
taktop.Destiny,2022,1,19253,4.6,92,55,140,396,3.1
TalentlessNana,2020,1,2582,4.3,19,4,5,14,253
TALESOFCRESTORIA-THEWAKEOFSIN-,2022,1,234,3.9,21,11,22,57,230
TalesofLuminariatheFatefulCrossroad,2015,1,693,3.5,203,123,253,471,1.1
TalesofZestiriatheX,2021,2,1859,4.5,26,22,19,29,106
TAMAofthe3rdDistrict-HaveYouSeenMyTAMA?,2023,1,52,4.1,30,17,26,21,58
TAMAYOMI:TheBaseballGirls,2023,1,656,4.3,110,85,268,1.2,8.6
TanteiTeamKZJikenNote,2012,9,78,3.8,24,17,46,190,2.2
TawawaonMonday,2009,1,2389,4.2,57,19,32,63,181
TearmoonEmpire,2023,1,4556,4.8,16,10,28,83,810
TechnoroidOVERMIND,2020,2,1106,3.8,11,17,48,117,498
Teekyu,2022,1,444,3.8,16,17,17,25,56
TegamiBachiLetterBee,2015,1,4063,4.6,9,13,35,80,184
TenchiMuyo!GXPParadiseStarting,2023,1,591,4.2,61,38,133,420,4.7
TenchiMuyo!Ryo-Ohki,2022,1,418,4.5,100,59,130,425,2.4
TenchiMuyo!WaronGeminar,2014,2,2644,4.7,2.9,1,2.7,10.4,228.8
TenjhoTenge,2022,1,1425,4.3,26,33,126,478,1.5
TenPuru,2020,1,5690,4.5,38,8,19,44,244
TEPPEN!!!!!!!!!!!!!!!Laughing'tilYouCry,2023,5,880,3.8,40,20,71,143,651
TERRAFORMARS,2023,1,2126,4.1,44,47,116,299,882
TeslaNote,2020,1,200,2.8,91,37,87,100,277
ThatistheBottleneck,2012,1,95,3.7,16,5,19,64,1
ThatTimeIGotReincarnatedasaSlime,2017,4,105216,4.9,109,56,81,119,1.3
The100GirlfriendsWhoReally,2023,1,11769,4.8,11,10,25,56,139
The8thson?Areyoukiddingme?,2023,1,18590,4.4,12,3,6,19,106
TheAmbitionofOdaNobuna,2021,1,2128,4.6,27,9,55,197,1.7
TheAncientMagus'Bride,2023,1,35093,4.8,81,34,92,387,4.5
TheAngelNextDoorSpoilsMeRotten,2018,1,39869,4.9,64,20,51,88,584
TheApothecaryDiaries,2023,1,29372,5,50,5,9,7,30
Theaquatopeonwhitesand,2020,1,3529,4.7,19,9,29,43,103
TheAristocrat’sOtherworldlyAdventure:ServingGodsWhoGoTooFar,2023,1,42264,4.6,30,14,28,19,63
TheBetrayalKnowsMyName,2023,3,464,4.6,185,134,360,730,2.7
TheCaféTerraceandItsGoddesses,2022,3,10670,4.6,106,27,59,148,617
TheCaseFilesofJewelerRichard,2022,1,1742,4.7,29,9,25,45,168
TheCaseStudyofVanitas,2022,1,24263,4.8,237,157,397,1.3,14.1
TheCrunchyrollAnimeAwards,2022,1,515,2.8,1.8,1.6,2.4,2.3,6.6
TheDailyLifeoftheImmortalKing,2023,1,30553,4.5,19,23,45,202,1.8
TheDawnoftheWitch,2022,1,13867,4.2,56,41,102,147,504
TheDayIBecameaGod,2015,1,1927,4.5,540,75,183,519,3.4
TheDefective,2023,1,350,3.7,299,352,1.1,2.6,8.1
TheDetectiveIsAlreadyDead,2017,1,5714,4.5,137,74,139,548,13.5
TheDevilisaPart-Timer!,2022,2,28716,4.5,468,377,989,2.2,10
TheDiaryofOchibi(MotionManga),2022,1,34,3.1,1.4,865,1.9,4.9,45.7
TheDisappearanceofHaruhiSuzumiya,2017,1,679,4.8,115,14,15,48,550
TheDisappearanceofNagatoYuki-Chan,2023,1,521,4.3,25,17,26,58,641
TheDukeofDeathandHisMaid,2023,2,9249,4.7,4,6,9,19,52
TheDungeonofBlackCompany,2023,1,5755,4.6,539,387,667,655,1.1
TheEccentricFamily2,2023,2,278,4.7,33,25,25,14,50
TheFamilyCircumstancesoftheIrregularWitch,2014,3,2634,4.2,26,19,66,284,3.9
TheFarawayPaladin,2017,1,28270,4.6,12,7,7,20,38
TheFireHunter,2023,1,1622,4.4,360,370,1,2.5,14.9
TheFruitofEvolution:BeforeIKnewIt,2023,1,31104,4,220,63,155,430,1.7
TheFruitofGrisaia,2022,1,4656,4.7,32,14,22,40,126
TheGalaxyRailways,2023,1,151,4.1,148,46,92,133,274
TheGeneofAI,2020,1,1902,4.3,79,34,99,274,1.4
TheGeniusPrince'sGuidetoRaisingaNationOutofDebt,2023,1,15595,4.8,6,4,3,7,32
TheGirlfromtheOtherSide,2021,1,5335,4.8,47,20,54,127,408
TheGirlILikeForgotHerGlasses,2022,1,13913,4.6,5,6,17,19,31
TheGodofHighSchool,2022,1,28143,4.6,193,87,181,471,1.5
TheGreatCleric,2022,1,27884,4.7,57,36,113,355,4
TheGreatJahyWillNotBeDefeated!,2019,1,6563,4.5,184,62,107,172,581
TheGreatestDemonLordIsRebornasaTypicalNobody,2021,1,32981,4.3,94,21,31,51,247
TheGymnasticsSamurai,2016,1,448,4.5,45,37,199,991,2.8
TheHeikeStory,2022,1,988,4.6,72,17,25,59,418
TheHelpfulFoxSenko-san,2020,1,3909,4.8,29,5,23,39,322
TheHiddenDungeonOnlyICanEnter,2022,1,21759,4.5,90,31,72,255,2.2
TheHighschoolLifeofaFudanshi,2023,1,1510,4.3,104,47,117,261,896
TheHonoratMagicHighSchool,2023,1,1535,4.5,239,122,316,771,4.2
TheHouseSpiritTatami-chan,2021,1,84,3.1,127,61,108,149,435
TheHumanCrazyUniversity,2017,1,872,3.5,189,97,199,437,1.2
TheIceGuyandHisCoolFemaleColleague,2017,3,20131,4.7,75,27,20,16,62
TheIcebladeSorcererShallRuletheWorld,2023,1,25231,4.4,10,12,10,25,38
TheIdatenDeitiesKnowOnlyPeace,2023,1,4289,4.6,819,389,1,4.1,98.9
THEIDOLM@STERCINDERELLAGIRLS,2017,1,236,4.5,354,78,137,454,10.7
THEIDOLM@STERCINDERELLAGIRLSTheater,2018,1,77,4.1,621,604,1.5,4,11.9
THEIDOLM@STERCINDERELLAGIRLSU149,2014,3,583,4.4,45,29,145,366,1.5
THEIDOLM@STERMillionLive!,2017,1,315,4.1,533,329,877,2.8,30.6
THEIDOLM@STERSideM,2020,1,134,4.1,290,206,603,2,36.8
THEIDOLM@STERSideMWakeatteMini!,2022,1,48,3.4,112,21,64,462,28.7
TheIrregularatMagicHighSchool,2018,1,12605,4.6,52,39,105,364,3
TheIrresponsibleGalaxyTylor,2023,1,104,2.4,1.4,950,1.9,4.2,33.8
TheIslandofGiantInsects,2023,1,749,3,7,11,29,76,341
TheJourney,2023,1,551,3.3,415,168,314,1.1,8.7
TheJourneyHome,2023,1,93,2.6,30,16,85,267,1.3
TheKingdomsofRuin,2022,1,15246,4.6,311,166,517,2.2,21.1
TheLastSummoner,2016,1,10257,4,235,29,35,24,192
TheLegendofHeroes:TrailsofColdSteel-NorthernWar,2023,1,2972,3.9,1.6,559,1.3,3.6,23.5
TheLegendaryHeroisDead!,2019,1,12097,4,777,638,1.5,3.2,7.7
TheLittleLiesWeAllTell,2022,1,1354,4.5,57,47,154,291,1.4
TheLostVillage,2023,1,1017,3.5,89,5,21,31,204
TheMagicalRevolutionoftheReincarnatedPrincessandtheGeniusYoungLady,2018,1,16073,4.6,201,162,375,806,4.2
TheMagnificentKOTOBUKI,2023,1,198,4.3,1.1,543,1.5,3.8,21.7
TheMaidIHiredRecentlyIsMysterious,2023,1,10220,4.5,9,5,5,3,12
THEMARGINALSERVICE,2010,1,1306,3.2,7,8,16,40,608
TheMasterofRagnarok\u0026BlesserofEinherjar,2022,1,6382,3.6,36,20,48,86,331
TheMasterfulCatIsDepressedAgainToday,2023,2,7643,4.8,187,110,270,819,7.9
TheMelancholyofHaruhiSuzumiya,2016,2,3301,4.5,119,119,337,1,4.2
TheMelodyofOblivion,2018,1,315,3.8,4,3,14,35,222
TheMillionaireDetective-Balance:UNLIMITED,2015,1,7924,4.7,230,160,213,368,1.7
TheMisfitofDemonKingAcademy,2021,1,44866,4.7,496,506,1.4,4.2,21.6
TheMoroseMononokean,2022,1,2514,4.7,62,62,115,286,1.1
TheMysticArchivesofDantalian,2015,1,217,4.6,3.1,2,3,5,18
TheNamekoFamilies,2019,1,49,3.7,91,63,169,522,3.8
TheNightBeyondtheTricorneredWindow,2022,1,3260,4.4,19,7,12,19,94
TheOnesWithin,2012,2,722,4.4,116,61,206,355,1.2
ThePerfectInsider,2023,1,606,4.3,147,105,409,1.7,13.3
ThePriceofSmiles,2015,1,361,3.5,93,44,139,458,4.6
ThePrinceofTennis,2022,1,1789,4.6,617,325,572,1.4,11
ThePrinceofTennisII,2019,1,1012,4.6,558,541,1.4,3.9,21.8
ThePrinceofTennisIIHyoteivs.RikkaiGameofFuture,2019,3,123,4.2,490,375,957,3,23
ThePrinceofTennisIIOVAvsGenius10,2017,1,347,4.6,240,136,404,987,4.8
ThePrinceofTennisIIU-17WorldCup,2023,1,1595,4.5,1.6,1.5,3.4,6.3,20.2
THEPROMISEDNEVERLAND,2023,3,24816,4.5,15,16,27,72,318
TheQuintessentialQuintuplets,2017,2,42584,4.8,38,10,34,125,781
TheReflection,2018,1,276,3.2,48,40,132,368,3.3
TheReincarnationOfTheStrongestExorcistInAnotherWorld,2023,2,33257,4.7,852,589,1.5,3.5,15.3
TheRisingoftheShieldHero,2017,2,88826,4.7,78,60,147,333,892
TheRoyalTutor,2021,1,2784,4.7,45,33,111,212,1.1
TheRyuo'sWorkisNeverDone!,2018,1,1038,4.4,18,15,13,14,24
TheSaint'sMagicPowerisOmnipotent,2022,1,17834,4.8,215,53,105,118,381
TheSilverGuardian,2022,1,1843,3.7,293,273,758,2.2,16.6
TheSlimeDiaries,2023,1,11708,4.8,1,930,2,3.8,17.4
TheSpritesofFloria,2015,1,73,2.9,211,52,132,440,3.5
TheStrangerbytheShore,2015,3,8280,4.8,10,5,18,32,171
TheStrongestSageWiththeWeakestCrest,2012,1,25642,4.2,11,4,5,2,55
Thetaleofoutcasts,2022,2,4519,4.6,58,8,20,48,449
TheTenthPrism(MotionManga),2022,1,45,3.2,56,5,11,24,219
TheTestamentofSisterNewDevil,2010,3,10077,4.5,18,4,11,14,87
THEUNLIMITEDHyobuKyosuke,2014,1,788,4.5,13,4,4,5,22
TheVampireDiesinNoTime,2017,1,3105,4.6,384,229,521,1.5,10
TheWorldEndsWithYouTheAnimation,2021,1,1045,4,50,11,17,5,21
TheWorldGodOnlyKnows,2022,1,8658,4.6,211,106,113,89,230
TheWorldisStillBeautiful,2023,1,4649,4.8,169,34,56,52,240
TheWorldYAMIZUKAN,2023,12,280,3,51,4,3,2,33
TheWorld'sFinestAssassinGetsReincarnatedinAnotherWorldasanAristocrat,2016,1,51281,4.7,902,406,519,864,12.6
TheYakuza'sGuidetoBabysitting,2016,1,18335,4.8,1.3,465,890,1.8,5.7
TheYuzukiFamily'sFourSons,2021,1,2163,4.7,310,208,393,513,1.5
TheatreofDarkness:Yamishibai,2016,5,1425,4.3,1.2,649,1.2,2.3,6.8
ThisArtClubHasaProblem!,2016,1,1047,4.4,54,33,75,229,963
ThisBoyisaProfessionalWizard,2016,2,1043,4.4,136,101,224,267,289
ThoseSnowWhiteNotes,2008,1,4512,4.8,529,266,553,1.6,13.1
ThunderboltFantasy,2017,1,716,4.1,10,7,13,48,120
TigerMaskW,2016,1,225,4.4,542,295,590,1.3,7.5
TimeBokan24,2018,1,41,3.2,278,173,236,198,421
TimeofEve,2023,1,4848,4.7,1,469,888,1.3,2.7
TimeTravelGirl,2023,1,63,4,124,48,115,476,6.9
TOBEHERO,2019,1,456,4.3,102,86,201,509,2.4
ToBeHeroine,2021,2,570,3.8,36,21,47,70,141
ToEveryYouI'veLovedBefore,2012,1,3417,4.7,131,91,342,1.2,6.2
ToMe,2022,1,3418,4.8,808,548,1.6,4.6,37.2
TotheAbandonedSacredBeasts,2022,1,2038,4.2,31,19,87,358,2
ToYourEternity,2022,4,41815,4.8,3,7,14,32,161
Tofugu,2022,2,65,3.6,9,4,5,7,24
Toilet-boundHanako-kun,2018,1,14470,4.8,251,59,200,526,2.2
Tokyo24thWard,2021,1,2019,4.2,34,22,50,137,479
TokyoGhoul,2023,1,29894,4.5,21,26,55,136,368
TokyoMajin,2023,1,388,4.2,55,37,59,77,133
TokyoRavens,2022,1,2125,4.5,101,21,63,154,1.4
TokyoRevengers,2014,1,70729,4.7,33,23,43,128,785
TokyoRevengers(LiveAction),2021,3,1496,3.7,18,2,4,10,89
Tomo-chanIsaGirl!,2016,1,56985,4.8,19,6,15,26,281
TomodachiGame,2012,1,24438,4.7,118,40,52,113,1.3
TonarinoSeki-kun:TheMasterofKillingTime,2012,1,2502,4.7,691,450,1.6,5,17
TONIKAWA:OverTheMoonForYou,2016,2,44741,4.8,510,203,751,2.9,38.2
TonkatsuDJAgetaro,2020,1,120,4.3,54,40,52,47,83
Toradora!,2022,1,30735,4.8,433,308,1.2,4,27.3
TotalEclipse,2012,1,765,4.2,1.7,1.2,3.2,9,73.7
ToukenRanbu-Hanamaru,2015,1,370,4.2,45,25,110,402,2.2
TowerofGod,2023,1,30502,4.7,54,22,72,185,705
TrappedinaDatingSim:TheWorldofOtomeGamesisToughforMobs,2016,1,49879,4.8,251,164,527,1.8,15.1
TravelingDaru,2023,1,83,4.1,263,150,234,336,860
TriageX,2014,3,1059,4.2,201,100,343,990,10.1
